No-.,32
Yes-.,30
I-don't-know-what,17
he-asked-.,14
As-a-matter-of,13
I-see-.,13
We-shall-have-to,13
Well-!,11
I-don't-want-to,10
Why-not-?,10
I-want-you-to,9
Why-?,9
He-did-not-know,8
It-was-as-if,8
What-?,8
What-do-you-mean,8
What-is-the-matter,8
I-am-sure-it,7
I-shall-have-to,7
It-would-be-a,7
Thank-you-.,7
The-Wart-did-not,7
Well-said-the-Wart,7
What-are-you-doing,7
What-do-you-think,7
Aye-.,6
Do-you-think-we,6
How-do-you-do,6
I-am-sorry-.,6
I-don't-know-.,6
In-the-middle-of,6
It-is-difficult-to,6
It-is-no-good,6
asked-the-King-.,6
he-cried-.,6
.,5
Do-you-mean-to,5
Go-on-.,5
Hail-said-King-Pellinore,5
I-don't-want-you,5
I-think-it-is,5
In-the-first-place,5
It-is-all-right,5
It-is-not-a,5
It-was-like-a,5
It-will-be-a,5
Lancelot-!,5
Left-!,5
Oh-dear-!,5
Right-!,5
Then-there-was-a,5
Well-?,5
What-did-you-do,5
Yah-!,5
Yes-you-are-.,5
You-will-have-to,5
asked-Gawaine-.,5
asked-Kay-.,5
Do-you-think-I,4
Do-you-think-you,4
Exactly-.,4
Get-out-!,4
He-did-not-like,4
He-went-to-the,4
He-would-have-to,4
How-do-you-know,4
I-am-fond-of,4
I-am-going-to,4
I-am-sorry-if,4
I-do-not-think,4
I-don't-.,4
I-don't-see-why,4
I-don't-think-I,4
I-have-told-you,4
I-ought-to-have,4
I-was-thinking-of,4
I-will-not-.,4
If-I-were-to,4
It-is-as-if,4
It-is-only-a,4
It-is-only-that,4
It-is-true-.,4
It-must-have-been,4
It-seems-to-me,4
It-was-because-I,4
It-was-no-good,4
It-was-not-a,4
It-was-not-that,4
It-would-not-be,4
Lancelot-and-Guenever-were,4
Liar-!,4
Mercy-!,4
No-I-m-not,4
No-it-is-not,4
Nonsense-.,4
Oh-!,4
Perhaps-.,4
Perhaps-I-ought-to,4
Quite-.,4
So-far-as-I,4
